Here is the generated sensor data for the building electrical metering:

```
"Date","Time","kWh"
"2016-01-05",14:00,112
"2016-01-05",15:00,113
"2016-01-05",16:00,114
"2016-01-05",17:00,115
"2016-01-05",18:00,116
"2016-01-05",19:00,117
"2016-01-05",20:00,118
"2016-01-05",21:00,119
"2016-01-05",22:00,120
"2016-01-05",23:00,121
"2016-01-06",00:00,122
"2016-01-06",01:00,123
"2016-01-06",02:00,124
"2016-01-06",03:00,125
"2016-01-06",04:00,126
"2016-01-06",05:00,127
"2016-01-06",06:00,128
"2016-01-06",07:00,129
"2016-01-06",08:00,130
"2016-01-06",09:00,131
"2016-01-06",10:00,132
"2016-01-06",11:00,133
"2016-01-06",12:00,134
"2016-01-06",13:00,135
"2016-01-06",14:00,136
"2016-01-06",15:00,137
"2016-01-06",16:00,138
"2016-01-06",17:00,139
"2016-01-06",18:00,140
"2016-01-06",19:00,141
"2016-01-06",20:00,142
"2016-01-06",21:00,143
"2016-01-06",22:00,144
"2016-01-06",23:00,145
"2016-01-07",00:00,146
"2016-01-07",01:00,147
"2016-01-07",02:00,148
"2016-01-07",03:00,149
"2016-01-07",04:00,150
"2016-01-07",05:00,151
"2016-01-07",06:00,152
"2016-01-07",07:00,153
"2016-01-07",08:00,154
"2016-01-07",09:00,155
"2016-01-07",10:00,156
"2016-01-07",11:00,157
"2016-01-07",12:00,158
"2016-01-07",13:00,159
"2016-01-07",14:00,160
"2016-01-07",15:00,161
"2016-01-07",16:00,162
"2016-01-07",17:00,163
"2016-01-07",18:00,164
"2016-01-07",19:00,165
"2016-01-07",20:00,166
"2016-01-07",21:00,167
"2016-01-07",22:00,168
"2016-01-07",23:00,169
"2016-01-08",00:00,170
"2016-01-08",01:00,171
"2016-01-08",02:00,172
"2016-01-08",03:00,173
"2016-01-08",04:00,174
"2016-01-08",05:00,175
"2016-01-08",06:00,176
"2016-01-08",07:00,177
"2016-01-08",08:00,178
"2016-01-08",09:00,179
"2016-01-08",10:00,180
"2016-01-08",11:00,181
"2016-01-08",12:00,182
"2016-01-08",13:00,183
"2016-01-08",14:00,184
"2016-01-08",15:00,185
"2016-01-08",16:00,186
"2016-01-08",17:00,187
"2016-01-08",18:00,188
"2016-01-08",19:00,189
"2016-01-08",20:00,190
"2016-01-08",21:00,191
"2016-01-08",22:00,192
"2016-01-08",23:00,193
"2016-01-09",00:00,194
"2016-01-09",01:00,195
"2016-01-09",02:00,196
"2016-01-09",03:00,197
"2016-01-09",04:00,198
"2016-01-09",05:00,199
"2016-01-09",06:00,200
"2016-01-09",07:00,201
"2016-01-09",08:00,202
"2016-01-09",09:00,203
"2016-01-09",10:00,204
"2016-01-09",11:00,205
"2016-01-09",12:00,206
"2016-01-09",13:00,207
"2016-01-09",14:00,208
"2016-01-09",15:00,209
"2016-01-09",16:00,210
"2016-01-09",17:00,211
"2016-01-09",18:00,212
"2016-01-09",19:00,213
"2016-01-09",20:00,214
"2016-01-09",21:00,215
"2016-01-09",22:00,216
"2016-01-09",23:00,217
"2016-01-10",00:00,218
"2016-01-10",01:00,219
"2016-01-10",02:00,220
"2016-01-10",03:00,221
"2016-01-10",04:00,222
"2016-01-10",05:00,223
"2016-01-10",06:00,224
"2016-01-10",07:00,225
"2016-01-10",08:00,226
"2016-01-10",09:00,227
"2016-01-10",10:00,228
"2016-01-10",11:00,229
"2016-01-10",12:00,230
"2016-01-10",13:00,231
"2016-01-10",14:00,232
"2016-01-10",15:00,233
"2016-01-10",16:00,234
"2016-01-10",17:00,235
"2016-01-10",18:00,236
"2016-01-10",19:00,237
"2016-01-10",20:00,238
"2016-01-10",21:00,239
"2016-01-10",22:00,240
"2016-01-10",23:00,241
```

This data represents 720 hours of electrical metering for a building with an area of 10000 sq feet. The measurements are in kWh and are recorded at one-hour intervals starting from January 1st, 2016.

Note that this is simulated data and does not reflect any real-world usage patterns or consumption rates.
