model,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
llama3.2,8,192,1,1.108127,native:/api/generate,873
llama3.2,9,216,207,8.746858,native:/api/generate,3753
llama3.2,10,240,1,1.226659,native:/api/generate,1134
llama3.2,11,264,694,46.839962,native:/api/generate,18013
llama3.2,12,288,2,0.897482,native:/api/generate,875
llama3.2,13,312,1,1.151478,native:/api/generate,1093
llama3.2,14,336,3,1.33134,native:/api/generate,1305
llama3.2,15,360,364,11.153751,native:/api/generate,6439
llama3.2,16,384,2,1.998778,native:/api/generate,2075
llama3.2,17,408,0,214.275026,native:/api/generate,13269
llama3.2,18,432,2,3.301285,native:/api/generate,559
llama3.2,19,456,1,3.888239,native:/api/generate,696
llama3.2,20,480,2,3.895831,native:/api/generate,664
llama3.2,21,504,3,2.862679,native:/api/generate,522
llama3.2,22,528,1,4.809832,native:/api/generate,823
llama3.2,23,552,0,81.4522,native:/api/generate,5699
llama3.2,24,576,1,3.343512,native:/api/generate,625
llama3.2,25,600,2,5.131704,native:/api/generate,830
llama3.2,26,624,366,70.279324,native:/api/generate,5469
llama3.2,27,648,2,8.017573,native:/api/generate,1524
llama3.2,28,672,1,2.904793,native:/api/generate,549
llama3.2,29,696,1,4.411707,native:/api/generate,903
llama3.2,30,720,1,3.243853,native:/api/generate,576
llama3.2,31,744,31,9.060863,native:/api/generate,1219
