model,building_id,primary_use,square_feet,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
gpt-oss:20b,1206,Office,99946,30,720,720,711.928944,openai:/v1/chat/completions,17997
gpt-oss:20b,107,Education,97532,1,24,24,41.468931,native:/api/generate,575
gpt-oss:20b,107,Education,97532,7,168,168,141.321258,native:/api/generate,4031
gpt-oss:20b,107,Education,97532,30,720,214,865.73212,native:/api/generate,5138
gpt-oss:20b,140,Office,50020,1,24,24,46.983357,native:/api/generate,527
gpt-oss:20b,140,Office,50020,7,168,164,90.317672,native:/api/generate,3771
gpt-oss:20b,140,Office,50020,30,720,720,1797.64706,native:/api/generate,16558
gpt-oss:20b,1223,Office,52141,1,24,24,47.786178,native:/api/generate,597
gpt-oss:20b,1223,Office,52141,7,168,168,119.539116,native:/api/generate,4199
gpt-oss:20b,1223,Office,52141,30,720,720,717.431778,openai:/v1/chat/completions,16559
gpt-oss:20b,1143,Office,96612,1,24,24,20.753924,native:/api/generate,527
gpt-oss:20b,1143,Office,96612,7,168,168,130.611269,native:/api/generate,3695
gpt-oss:20b,1143,Office,96612,30,720,720,1022.115426,native:/api/generate,14489
gpt-oss:20b,11,Education,49073,1,24,24,40.082464,native:/api/generate,575
gpt-oss:20b,11,Education,49073,7,168,168,99.046765,native:/api/generate,3527
gpt-oss:20b,11,Education,49073,30,720,720,313.295235,native:/api/generate,15118
gpt-oss:20b,105,Education,50623,1,24,24,25.268808,native:/api/generate,551
gpt-oss:20b,105,Education,50623,7,168,168,125.005903,native:/api/generate,3863
gpt-oss:20b,105,Education,50623,30,720,720,673.647955,openai:/v1/chat/completions,14398
gpt-oss:20b,1246,Office,50327,1,24,24,44.386797,native:/api/generate,647
gpt-oss:20b,1246,Office,50327,7,168,168,111.015047,native:/api/generate,3863
gpt-oss:20b,1246,Office,50327,30,720,720,699.487595,openai:/v1/chat/completions,16559
