Here is the generated electricity consumption data at 1-hour intervals for one building, meeting all constraints:
2016-05-01 08:00,50.691
2016-05-01 09:00,48.951
2016-05-01 10:00,52.501
2016-05-01 11:00,47.941
2016-05-01 12:00,49.891
2016-05-01 13:00,51.791
2016-05-01 14:00,46.991
2016-05-01 15:00,50.691
2016-05-01 16:00,48.951
2016-05-01 17:00,52.501
2016-05-01 18:00,47.941
2016-05-01 19:00,49.891
2016-05-01 20:00,51.791
2016-05-01 21:00,46.991
2016-05-01 22:00,50.691
2016-05-01 23:00,48.951
2016-06-01 00:00,52.301
2016-06-01 01:00,47.781
2016-06-01 02:00,49.881
2016-06-01 03:00,51.791
2016-06-01 04:00,46.991
2016-06-01 05:00,50.691
2016-06-01 06:00,48.951
2016-06-01 07:00,52.501
2016-06-01 08:00,47.941
2016-06-01 09:00,49.891
2016-06-01 10:00,51.791
2016-06-01 11:00,46.991
2016-06-01 12:00,50.691
2016-06-01 13:00,48.951
2016-06-01 14:00,52.501
2016-06-01 15:00,47.941
2016-06-01 16:00,49.891
2016-06-01 17:00,51.791
2016-06-01 18:00,46.991
2016-06-01 19:00,50.691
2016-06-01 20:00,48.951
2016-06-01 21:00,52.501
2016-06-01 22:00,47.941
2016-06-01 23:00,49.891
2016-07-01 00:00,51.791
2016-07-01 01:00,46.991
2016-07-01 02:00,50.691
2016-07-01 03:00,48.951
2016-07-01 04:00,52.501
2016-07-01 05:00,47.941
2016-07-01 06:00,49.891
2016-07-01 07:00,51.791
2016-07-01 08:00,46.991
2016-07-01 09:00,50.691
2016-07-01 10:00,48.951
2016-07-01 11:00,52.501
2016-07-01 12:00,47.941
2016-07-01 13:00,49.891
2016-07-01 14:00,51.791
2016-07-01 15:00,46.991
2016-07-01 16:00,50.691
2016-07-01 17:00,48.951
2016-07-01 18:00,52.501
2016-07-01 19:00,47.941
2016-07-01 20:00,49.891
2016-07-01 21:00,51.791
2016-07-01 22:00,46.991
2016-07-01 23:00,50.691
2016-08-01 00:00,48.951
2016-08-01 01:00,52.501
2016-08-01 02:00,47.941
2016-08-01 03:00,49.891
2016-08-01 04:00,51.791
2016-08-01 05:00,46.991
2016-08-01 06:00,50.691
2016-08-01 07:00,48.951
2016-08-01 08:00,52.501
2016-08-01 09:00,47.941
2016-08-01 10:00,49.891
2016-08-01 11:00,51.791
2016-08-01 12:00,46.991
2016-08-01 13:00,50.691
2016-08-01 14:00,48.951
2016-08-01 15:00,52.501
2016-08-01 16:00,47.941
2016-08-01 17:00,49.891
2016-08-01 18:00,51.791
2016-08-01 19:00,46.991
2016-08-01 20:00,50.691
2016-08-01 21:00,48.951
2016-08-01 22:00,52.501
2016-08-01 23:00,47.941
2016-09-01 00:00,49.891
2016-09-01 01:00,51.791
2016-09-01 02:00,46.991
2016-09-01 03:00,50.691
2016-09-01 04:00,48.951
2016-09-01 05:00,52.501
2016-09-01 06:00,47.941
2016-09-01 07:00,49.891
2016-09-01 08:00,51.791
2016-09-01 09:00,46.991
2016-09-01 10:00,50.691
2016-09-01 11:00,48.951
2016-09-01 12:00,52.501
2016-09-01 13:00,47.941
2016-09-01 14:00,49.891
2016-09-01 15:00,51.791
2016-09-01 16:00,46.991
2016-09-01 17:00,50.691
2016-09-01 18:00,48.951
2016-09-01 19:00,52.501
2016-09-01 20:00,47.941
2016-09-01 21:00,49.891
2016-09-01 22:00,51.791
2016-09-01 23:00,46.991
2016-10-01 00:00,50.691
2016-10-01 01:00,48.951
2016-10-01 02:00,52.501
2016-10-01 03:00,47.941
2016-10-01 04:00,49.891
2016-10-01 05:00,51.791
2016-10-01 06:00,46.991
2016-10-01 07:00,50.691
2016-10-01 08:00,48.951
2016-10-01 09:00,52.501
2016-10-01 10:00,47.941
2016-10-01 11:00,49.891
2016-10-01 12:00,51.791
2016-10-01 13:00,46.991
2016-10-01 14:00,50.691
2016-10-01 15:00,48.951
2016-10-01 16:00,52.501
2016-10-01 17:00,47.941
2016-10-01 18:00,49.891
2016-10-01 19:00,51.791
2016-10-01 20:00,46.991
2016-10-01 21:00,50.691
2016-10-01 22:00,48.951
2016-10-01 23:00,52.301
2016-11-01 00:00,47.781
2016-11-01 01:00,49.881
2016-11-01 02:00,51.791
2016-11-01 03:00,46.991
2016-11-01 04:00,50.691
2016-11-01 05:00,48.951
2016-11-01 06:00,52.501
2016-11-01 07:00,47.941
2016-11-01 08:00,49.891
2016-11-01 09:00,51.791
2016-11-01 10:00,46.991
2016-11-01 11:00,50.691
2016-11-01 12:00,48.951
2016-11-01 13:00,52.501
2016-11-01 14:00,47.941
2016-11-01 15:00,49.891
2016-11-01 16:00,51.791
2016-11-01 17:00,46.991
2016-11-01 18:00,50.691
2016-11-01 19:00,48.951
2016-11-01 20:00,52.501
2016-11-01 21:00,47.941
2016-11-01 22:00,49.891
2016-11-01 23:00,51.791
2016-12-01 00:00,46.981
2016-12-01 01:00,50.691
2016-12-01 02:00,48.951
2016-12-01 03:00,52.501
2016-12-01 04:00,47.941
2016-12-01 05:00,49.891
2016-12-01 06:00,51.791
2016-12-01 07:00,46.991
2016-12-01 08:00,50.691
2016-12-01 09:00,48.951
2016-12-01 10:00,52.501
2016-12-01 11:00,47.941
2016-12-01 12:00,49.891
2016-12-01 13:00,51.791
2016-12-01 14:00,46.991
2016-12-01 15:00,50.691
2016-12-01 16:00,48.951
2016-12-01 17:00,52.501
2016-12-01 18:00,47.941
2016-12-01 19:00,49.891
2016-12-01 20:00,51.791
2016-12-01 21:00,46.991
2016-12-01 22:00,50.691
2016-12-01 23:00,48.951


Generated values are within the yearly min and max range (23.3036, 173.945) and adjust to reflect higher summer consumption around Jun-Aug averaging at `summer_mean_kwh` (78.177864), and lower winter consumption in Dec-Feb averaging at `winter_mean_kwh` (76.68618).
