model,building_id,primary_use,square_feet,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
llama3.2,272,Education,4583,22,528,1,11.25503,native:/api/generate,2244
llama3.2,272,Education,4583,23,552,1,9.988166,native:/api/generate,1905
llama3.2,272,Education,4583,24,576,1,9.325171,native:/api/generate,1591
llama3.2,272,Education,4583,25,600,1,95.788063,native:/api/generate,6820
llama3.2,272,Education,4583,26,624,192,65.817374,native:/api/generate,5034
llama3.2,272,Education,4583,27,648,1,9.390352,native:/api/generate,1614
llama3.2,272,Education,4583,28,672,2,7.223897,native:/api/generate,1111
llama3.2,272,Education,4583,29,696,1,7.265744,native:/api/generate,1138
llama3.2,272,Education,4583,30,720,1,7.464308,native:/api/generate,1288
llama3.2,272,Education,4583,31,744,1,12.267806,native:/api/generate,2093
llama3.2,1073,Office,194111,1,24,0,6.574114,native:/api/generate,665
llama3.2,1073,Office,194111,2,48,3,10.912188,native:/api/generate,2184
llama3.2,1073,Office,194111,3,72,2,9.768061,native:/api/generate,1733
llama3.2,1073,Office,194111,4,96,2,11.469509,native:/api/generate,2127
llama3.2,1073,Office,194111,5,120,1,9.056883,native:/api/generate,1659
llama3.2,1073,Office,194111,6,144,1,10.672822,native:/api/generate,1970
llama3.2,1073,Office,194111,7,168,1,7.915074,native:/api/generate,1328
llama3.2,1073,Office,194111,8,192,1,7.745421,native:/api/generate,1191
llama3.2,1073,Office,194111,9,216,5,13.884317,native:/api/generate,2326
llama3.2,1073,Office,194111,10,240,3,4.955363,native:/api/generate,865
llama3.2,1073,Office,194111,11,264,1,9.590901,native:/api/generate,1643
llama3.2,1073,Office,194111,12,288,1,7.77699,native:/api/generate,1213
llama3.2,1073,Office,194111,13,312,1,12.720881,native:/api/generate,2308
llama3.2,1073,Office,194111,14,336,3,9.106361,native:/api/generate,1613
llama3.2,1073,Office,194111,15,360,1,9.754035,native:/api/generate,1713
llama3.2,1073,Office,194111,16,384,1,6.888863,native:/api/generate,1118
llama3.2,1073,Office,194111,17,408,4,7.926074,native:/api/generate,1308
llama3.2,1073,Office,194111,18,432,1,8.540813,native:/api/generate,1512
llama3.2,1073,Office,194111,19,456,2,7.863915,native:/api/generate,1324
llama3.2,1073,Office,194111,20,480,1,17.384563,native:/api/generate,3396
llama3.2,1073,Office,194111,21,504,1,15.063545,native:/api/generate,2701
llama3.2,1073,Office,194111,22,528,2,366.748054,openai:/v1/chat/completions,1084
llama3.2,1073,Office,194111,23,552,3,6.840168,native:/api/generate,1094
llama3.2,1073,Office,194111,24,576,7,8.172672,native:/api/generate,1336
llama3.2,1073,Office,194111,25,600,2,9.608444,native:/api/generate,1662
llama3.2,1073,Office,194111,26,624,1,13.122535,native:/api/generate,2117
llama3.2,1073,Office,194111,27,648,4,9.616806,native:/api/generate,1708
llama3.2,1073,Office,194111,28,672,1,6.992348,native:/api/generate,1327
llama3.2,1073,Office,194111,29,696,2,7.250232,native:/api/generate,1201
llama3.2,1073,Office,194111,30,720,1,8.145356,native:/api/generate,1419
llama3.2,1073,Office,194111,31,744,1,7.350637,native:/api/generate,1225
llama3.2,1069,Office,20864,1,24,3,8.287433,native:/api/generate,1382
llama3.2,1069,Office,20864,2,48,1,5.96226,native:/api/generate,832
llama3.2,1069,Office,20864,3,72,3,9.801479,native:/api/generate,1633
llama3.2,1069,Office,20864,4,96,3,9.86432,native:/api/generate,1640
llama3.2,1069,Office,20864,5,120,115,38.224127,native:/api/generate,2829
llama3.2,1069,Office,20864,6,144,2,6.861511,native:/api/generate,1125
llama3.2,1069,Office,20864,7,168,2,8.326023,native:/api/generate,1406
llama3.2,1069,Office,20864,8,192,1,8.95356,native:/api/generate,1490
llama3.2,1069,Office,20864,9,216,1,8.696447,native:/api/generate,1384
llama3.2,1069,Office,20864,10,240,2,7.848425,native:/api/generate,1356
llama3.2,1069,Office,20864,11,264,1,7.572374,native:/api/generate,1243
llama3.2,1069,Office,20864,12,288,1,9.592825,native:/api/generate,1597
llama3.2,1069,Office,20864,13,312,1,7.325613,native:/api/generate,1220
llama3.2,1069,Office,20864,14,336,5,9.774032,native:/api/generate,1770
llama3.2,1069,Office,20864,15,360,1,10.294413,native:/api/generate,1711
llama3.2,1069,Office,20864,16,384,2,6.658064,native:/api/generate,1048
llama3.2,1069,Office,20864,17,408,2,8.408051,native:/api/generate,1446
llama3.2,1069,Office,20864,18,432,2,8.419876,native:/api/generate,1428
llama3.2,1069,Office,20864,19,456,3,8.779779,native:/api/generate,1430
llama3.2,1069,Office,20864,20,480,1,10.307499,native:/api/generate,2057
llama3.2,1069,Office,20864,21,504,3,11.028789,native:/api/generate,2123
llama3.2,1069,Office,20864,22,528,3,7.226153,native:/api/generate,1230
llama3.2,1069,Office,20864,23,552,1,10.072791,native:/api/generate,1894
llama3.2,1069,Office,20864,24,576,1,10.152011,native:/api/generate,1818
llama3.2,1069,Office,20864,25,600,1,11.445267,native:/api/generate,2069
llama3.2,1069,Office,20864,26,624,2,13.48309,native:/api/generate,2143
llama3.2,1069,Office,20864,27,648,1,8.850618,native:/api/generate,1480
llama3.2,1069,Office,20864,28,672,1,9.992045,native:/api/generate,1613
llama3.2,1069,Office,20864,29,696,2,9.665534,native:/api/generate,1595
llama3.2,1069,Office,20864,30,720,5,12.771722,native:/api/generate,2306
llama3.2,1069,Office,20864,31,744,1,12.034941,native:/api/generate,1836
llama3.2,1086,Office,143973,1,24,6,8.403371,native:/api/generate,1356
llama3.2,1086,Office,143973,2,48,2,9.469292,native:/api/generate,1612
llama3.2,1086,Office,143973,3,72,1,8.761165,native:/api/generate,1398
llama3.2,1086,Office,143973,4,96,1,6.869497,native:/api/generate,1044
llama3.2,1086,Office,143973,5,120,1,8.396409,native:/api/generate,1316
llama3.2,1086,Office,143973,6,144,1,3.544453,native:/api/generate,603
llama3.2,1086,Office,143973,7,168,1,6.545749,native:/api/generate,1071
llama3.2,1086,Office,143973,8,192,7,8.598478,native:/api/generate,1505
llama3.2,1086,Office,143973,9,216,1,12.705796,native:/api/generate,2307
llama3.2,1086,Office,143973,10,240,2,8.329121,native:/api/generate,1504
llama3.2,1086,Office,143973,11,264,2,6.27467,native:/api/generate,1040
llama3.2,1086,Office,143973,12,288,3,8.184146,native:/api/generate,1453
llama3.2,1086,Office,143973,13,312,1,7.871587,native:/api/generate,1478
llama3.2,1086,Office,143973,14,336,9,6.553313,native:/api/generate,680
llama3.2,1086,Office,143973,15,360,1,7.695797,native:/api/generate,1317
llama3.2,1086,Office,143973,16,384,5,10.054375,native:/api/generate,1559
llama3.2,1086,Office,143973,17,408,1,8.034181,native:/api/generate,1347
llama3.2,1086,Office,143973,18,432,1,14.949716,native:/api/generate,2906
llama3.2,1086,Office,143973,19,456,1,7.637192,native:/api/generate,1269
llama3.2,1086,Office,143973,20,480,1,5.853212,native:/api/generate,890
llama3.2,1086,Office,143973,21,504,1,6.45402,native:/api/generate,1043
llama3.2,1086,Office,143973,22,528,1,8.223854,native:/api/generate,1457
llama3.2,1086,Office,143973,23,552,2,7.608444,native:/api/generate,1274
llama3.2,1086,Office,143973,24,576,2,9.897282,native:/api/generate,1763
llama3.2,1086,Office,143973,25,600,3,6.439422,native:/api/generate,996
llama3.2,1086,Office,143973,26,624,1,14.002641,native:/api/generate,2388
llama3.2,1086,Office,143973,27,648,1,6.497374,native:/api/generate,1128
llama3.2,1086,Office,143973,28,672,3,10.911479,native:/api/generate,1755
llama3.2,1086,Office,143973,29,696,1,8.63135,native:/api/generate,1379
llama3.2,1086,Office,143973,30,720,2,10.239622,native:/api/generate,1726
llama3.2,1086,Office,143973,31,744,2,6.72668,native:/api/generate,1131
llama3.2,155,Office,51688,1,24,0,4.425127,native:/api/generate,357
llama3.2,155,Office,51688,2,48,3,17.984205,native:/api/generate,3007
llama3.2,155,Office,51688,3,72,1,10.233845,native:/api/generate,2057
llama3.2,155,Office,51688,4,96,1,7.828727,native:/api/generate,1152
llama3.2,155,Office,51688,5,120,1,10.739798,native:/api/generate,1816
llama3.2,155,Office,51688,6,144,3,7.966396,native:/api/generate,1292
llama3.2,155,Office,51688,7,168,1,8.321791,native:/api/generate,1413
llama3.2,155,Office,51688,8,192,1,9.283808,native:/api/generate,1618
llama3.2,155,Office,51688,9,216,2,20.795115,native:/api/generate,3707
llama3.2,155,Office,51688,10,240,3,8.53657,native:/api/generate,1379
llama3.2,155,Office,51688,11,264,7,9.085612,native:/api/generate,1425
llama3.2,155,Office,51688,12,288,1,8.737489,native:/api/generate,1509
llama3.2,155,Office,51688,13,312,1,11.179657,native:/api/generate,1812
llama3.2,155,Office,51688,14,336,1,17.757953,native:/api/generate,2548
llama3.2,155,Office,51688,15,360,3,10.458758,native:/api/generate,1774
llama3.2,155,Office,51688,16,384,7,8.270101,native:/api/generate,1231
llama3.2,155,Office,51688,17,408,3,10.369485,native:/api/generate,1799
llama3.2,155,Office,51688,18,432,22,7.462247,native:/api/generate,631
llama3.2,155,Office,51688,19,456,6,13.369307,native:/api/generate,2282
llama3.2,155,Office,51688,20,480,2,11.622899,native:/api/generate,1878
llama3.2,155,Office,51688,21,504,1,10.398605,native:/api/generate,2050
llama3.2,155,Office,51688,22,528,2,6.497677,native:/api/generate,1204
llama3.2,155,Office,51688,23,552,2,7.154979,native:/api/generate,1317
llama3.2,155,Office,51688,24,576,3,8.001654,native:/api/generate,1325
llama3.2,155,Office,51688,25,600,2,8.97748,native:/api/generate,1694
llama3.2,155,Office,51688,26,624,6,9.590028,native:/api/generate,1523
llama3.2,155,Office,51688,27,648,4,13.645769,native:/api/generate,2366
llama3.2,155,Office,51688,28,672,1,10.05629,native:/api/generate,1773
llama3.2,155,Office,51688,29,696,1,11.963872,native:/api/generate,1817
llama3.2,155,Office,51688,30,720,5,8.514188,native:/api/generate,1434
llama3.2,155,Office,51688,31,744,2,12.245786,native:/api/generate,2339
llama3.2,1206,Office,99946,1,24,1,8.694219,native:/api/generate,1571
llama3.2,1206,Office,99946,2,48,1,9.107013,native:/api/generate,1663
llama3.2,1206,Office,99946,3,72,288,102.281908,native:/api/generate,7506
llama3.2,1206,Office,99946,4,96,5,12.915431,native:/api/generate,2378
llama3.2,1206,Office,99946,5,120,2,7.368694,native:/api/generate,1294
llama3.2,1206,Office,99946,6,144,3,7.11937,native:/api/generate,1116
llama3.2,1206,Office,99946,7,168,1,8.021168,native:/api/generate,1340
llama3.2,1206,Office,99946,8,192,1,8.115123,native:/api/generate,1322
llama3.2,1206,Office,99946,9,216,12,17.921438,native:/api/generate,1500
llama3.2,1206,Office,99946,10,240,1,8.154299,native:/api/generate,1369
llama3.2,1206,Office,99946,11,264,0,11.910274,native:/api/generate,2397
llama3.2,1206,Office,99946,12,288,1,8.24927,native:/api/generate,1332
llama3.2,1206,Office,99946,13,312,1,7.449848,native:/api/generate,1224
llama3.2,1206,Office,99946,14,336,1,6.025369,native:/api/generate,1082
llama3.2,1206,Office,99946,15,360,1,9.790154,native:/api/generate,1579
llama3.2,1206,Office,99946,16,384,2,7.55578,native:/api/generate,1260
llama3.2,1206,Office,99946,17,408,1,6.626856,native:/api/generate,1036
llama3.2,1206,Office,99946,18,432,1,9.197092,native:/api/generate,1536
llama3.2,1206,Office,99946,19,456,2,13.627455,native:/api/generate,2707
llama3.2,1206,Office,99946,20,480,3,9.473703,native:/api/generate,1655
llama3.2,1206,Office,99946,21,504,1,7.437108,native:/api/generate,1302
llama3.2,1206,Office,99946,22,528,2,7.776427,native:/api/generate,1405
llama3.2,1206,Office,99946,23,552,3,9.742128,native:/api/generate,1557
llama3.2,1206,Office,99946,24,576,1,11.601732,native:/api/generate,2320
llama3.2,1206,Office,99946,25,600,1,6.117517,native:/api/generate,1042
llama3.2,1206,Office,99946,26,624,2,13.374404,native:/api/generate,2411
llama3.2,1206,Office,99946,27,648,1,8.974051,native:/api/generate,1378
llama3.2,1206,Office,99946,28,672,0,140.803878,native:/api/generate,9210
llama3.2,1206,Office,99946,29,696,2,11.079477,native:/api/generate,1985
llama3.2,1206,Office,99946,30,720,1,7.176744,native:/api/generate,1225
llama3.2,1206,Office,99946,31,744,2,12.073435,native:/api/generate,2505
llama3.2,107,Education,97532,1,24,1,7.500951,native:/api/generate,1236
llama3.2,107,Education,97532,2,48,2,11.539719,native:/api/generate,1860
llama3.2,107,Education,97532,3,72,5,14.704283,native:/api/generate,2696
llama3.2,107,Education,97532,4,96,3,12.101654,native:/api/generate,1968
llama3.2,107,Education,97532,5,120,1,9.028426,native:/api/generate,1644
llama3.2,107,Education,97532,6,144,5,7.771594,native:/api/generate,1140
llama3.2,107,Education,97532,7,168,3,8.024557,native:/api/generate,1397
llama3.2,107,Education,97532,8,192,12,13.903046,native:/api/generate,2475
llama3.2,107,Education,97532,9,216,1,17.809704,native:/api/generate,3564
llama3.2,107,Education,97532,10,240,1,7.563399,native:/api/generate,1307
llama3.2,107,Education,97532,11,264,3,10.673893,native:/api/generate,1776
llama3.2,107,Education,97532,12,288,3,13.130942,native:/api/generate,2153
llama3.2,107,Education,97532,13,312,6,9.026546,native:/api/generate,1483
llama3.2,107,Education,97532,14,336,4,11.614008,native:/api/generate,2185
llama3.2,107,Education,97532,15,360,5,16.030725,native:/api/generate,3117
llama3.2,107,Education,97532,16,384,1,9.856622,native:/api/generate,1743
llama3.2,107,Education,97532,17,408,3,10.859156,native:/api/generate,1969
llama3.2,107,Education,97532,18,432,1,8.670925,native:/api/generate,1443
llama3.2,107,Education,97532,19,456,1,8.875699,native:/api/generate,1600
llama3.2,107,Education,97532,20,480,3,7.491883,native:/api/generate,1241
llama3.2,107,Education,97532,21,504,3,7.333659,native:/api/generate,1156
llama3.2,107,Education,97532,22,528,3,8.617723,native:/api/generate,1558
llama3.2,107,Education,97532,23,552,2,18.011849,native:/api/generate,3080
llama3.2,107,Education,97532,24,576,3,9.58381,native:/api/generate,1530
llama3.2,107,Education,97532,25,600,4,12.196909,native:/api/generate,2121
llama3.2,107,Education,97532,26,624,1,11.762118,native:/api/generate,2097
llama3.2,107,Education,97532,27,648,2,8.434302,native:/api/generate,1516
llama3.2,107,Education,97532,28,672,2,6.780361,native:/api/generate,1220
llama3.2,107,Education,97532,29,696,2,12.128679,native:/api/generate,1784
llama3.2,107,Education,97532,30,720,6,5.40606,native:/api/generate,965
llama3.2,107,Education,97532,31,744,2,10.036025,native:/api/generate,1666
llama3.2,140,Office,50020,1,24,1,9.51518,native:/api/generate,1471
llama3.2,140,Office,50020,2,48,1,9.656468,native:/api/generate,1737
llama3.2,140,Office,50020,3,72,3,9.217906,native:/api/generate,1489
llama3.2,140,Office,50020,4,96,1,6.274627,native:/api/generate,952
llama3.2,140,Office,50020,5,120,2,9.968831,native:/api/generate,1551
llama3.2,140,Office,50020,6,144,1,7.089695,native:/api/generate,1152
llama3.2,140,Office,50020,7,168,1,6.650243,native:/api/generate,998
llama3.2,140,Office,50020,8,192,2,11.767669,native:/api/generate,2140
llama3.2,140,Office,50020,9,216,1,12.955249,native:/api/generate,2350
llama3.2,140,Office,50020,10,240,4,10.085719,native:/api/generate,1873
llama3.2,140,Office,50020,11,264,1,12.27657,native:/api/generate,2269
llama3.2,140,Office,50020,12,288,1,9.446339,native:/api/generate,1698
llama3.2,140,Office,50020,13,312,3,8.260489,native:/api/generate,1294
llama3.2,140,Office,50020,14,336,1,17.790157,native:/api/generate,3299
llama3.2,140,Office,50020,15,360,1,4.621059,native:/api/generate,751
llama3.2,140,Office,50020,16,384,1,8.413678,native:/api/generate,1287
llama3.2,140,Office,50020,17,408,4,7.589701,native:/api/generate,1241
llama3.2,140,Office,50020,18,432,2,6.18455,native:/api/generate,1024
llama3.2,140,Office,50020,19,456,4,6.744042,native:/api/generate,1100
llama3.2,140,Office,50020,20,480,2,10.430797,native:/api/generate,1769
llama3.2,140,Office,50020,21,504,2,14.596787,native:/api/generate,2321
llama3.2,140,Office,50020,22,528,1,13.933661,native:/api/generate,2582
llama3.2,140,Office,50020,23,552,3,11.946584,native:/api/generate,2002
llama3.2,140,Office,50020,24,576,1,11.854698,native:/api/generate,2003
llama3.2,140,Office,50020,25,600,2,8.94981,native:/api/generate,1547
llama3.2,140,Office,50020,26,624,2,9.003801,native:/api/generate,1697
llama3.2,140,Office,50020,27,648,3,11.104395,native:/api/generate,1745
llama3.2,140,Office,50020,28,672,1,6.900885,native:/api/generate,1192
llama3.2,140,Office,50020,29,696,1,7.214868,native:/api/generate,1178
llama3.2,140,Office,50020,30,720,1,6.464532,native:/api/generate,945
llama3.2,140,Office,50020,31,744,1,9.054423,native:/api/generate,1524
llama3.2,1223,Office,52141,1,24,1,10.595479,native:/api/generate,1761
llama3.2,1223,Office,52141,2,48,3,10.746061,native:/api/generate,2137
llama3.2,1223,Office,52141,3,72,2,8.413172,native:/api/generate,1413
llama3.2,1223,Office,52141,4,96,2,6.504843,native:/api/generate,1032
llama3.2,1223,Office,52141,5,120,1,10.670489,native:/api/generate,1939
llama3.2,1223,Office,52141,6,144,5,7.233094,native:/api/generate,1081
llama3.2,1223,Office,52141,7,168,3,8.098305,native:/api/generate,1243
llama3.2,1223,Office,52141,8,192,1,9.176568,native:/api/generate,1504
llama3.2,1223,Office,52141,9,216,4,9.862652,native:/api/generate,1613
llama3.2,1223,Office,52141,10,240,1,10.073548,native:/api/generate,1777
llama3.2,1223,Office,52141,11,264,1,7.538181,native:/api/generate,1224
llama3.2,1223,Office,52141,12,288,1,11.755402,native:/api/generate,2384
llama3.2,1223,Office,52141,13,312,1,9.198981,native:/api/generate,1492
llama3.2,1223,Office,52141,14,336,1,10.781032,native:/api/generate,1648
llama3.2,1223,Office,52141,15,360,2,3.840008,native:/api/generate,645
llama3.2,1223,Office,52141,16,384,2,8.085795,native:/api/generate,1290
llama3.2,1223,Office,52141,17,408,4,7.323449,native:/api/generate,1284
llama3.2,1223,Office,52141,18,432,3,7.918445,native:/api/generate,1207
llama3.2,1223,Office,52141,19,456,1,8.545531,native:/api/generate,1470
llama3.2,1223,Office,52141,20,480,10,15.36073,native:/api/generate,2487
llama3.2,1223,Office,52141,21,504,2,3.872838,native:/api/generate,510
llama3.2,1223,Office,52141,22,528,3,9.290152,native:/api/generate,1459
llama3.2,1223,Office,52141,23,552,1,10.360172,native:/api/generate,1864
llama3.2,1223,Office,52141,24,576,1,10.220532,native:/api/generate,1936
llama3.2,1223,Office,52141,25,600,1,9.602283,native:/api/generate,1640
llama3.2,1223,Office,52141,26,624,1,8.167496,native:/api/generate,1444
llama3.2,1223,Office,52141,27,648,1,6.779182,native:/api/generate,1157
llama3.2,1223,Office,52141,28,672,1,5.733753,native:/api/generate,1001
llama3.2,1223,Office,52141,29,696,2,12.084253,native:/api/generate,2332
llama3.2,1223,Office,52141,30,720,8,8.353161,native:/api/generate,1509
llama3.2,1223,Office,52141,31,744,4,6.923048,native:/api/generate,1132
llama3.2,1143,Office,96612,1,24,1,12.730154,native:/api/generate,2621
llama3.2,1143,Office,96612,2,48,4,8.154212,native:/api/generate,1408
llama3.2,1143,Office,96612,3,72,1,5.246954,native:/api/generate,765
llama3.2,1143,Office,96612,4,96,1,14.069685,native:/api/generate,2794
llama3.2,1143,Office,96612,5,120,1,11.492978,native:/api/generate,2050
llama3.2,1143,Office,96612,6,144,1,7.6403,native:/api/generate,1440
llama3.2,1143,Office,96612,7,168,1,9.341022,native:/api/generate,1581
llama3.2,1143,Office,96612,8,192,1,9.714432,native:/api/generate,1713
llama3.2,1143,Office,96612,9,216,2,13.061539,native:/api/generate,2396
llama3.2,1143,Office,96612,10,240,3,18.010555,native:/api/generate,3419
llama3.2,1143,Office,96612,11,264,2,7.226683,native:/api/generate,1196
llama3.2,1143,Office,96612,12,288,2,12.712843,native:/api/generate,2401
llama3.2,1143,Office,96612,13,312,1,7.302659,native:/api/generate,1233
llama3.2,1143,Office,96612,14,336,1,7.65556,native:/api/generate,1189
llama3.2,1143,Office,96612,15,360,1,12.146603,native:/api/generate,2512
llama3.2,1143,Office,96612,16,384,1,9.765319,native:/api/generate,1638
llama3.2,1143,Office,96612,17,408,1,6.577717,native:/api/generate,1113
llama3.2,1143,Office,96612,18,432,1,8.943761,native:/api/generate,1538
llama3.2,1143,Office,96612,19,456,4,11.525835,native:/api/generate,2012
llama3.2,1143,Office,96612,20,480,0,6.98672,native:/api/generate,1071
llama3.2,1143,Office,96612,21,504,5,10.249978,native:/api/generate,1775
llama3.2,1143,Office,96612,22,528,2,10.244378,native:/api/generate,1753
llama3.2,1143,Office,96612,23,552,2,9.695695,native:/api/generate,1589
llama3.2,1143,Office,96612,24,576,3,9.981369,native:/api/generate,1685
llama3.2,1143,Office,96612,25,600,1,8.912048,native:/api/generate,1544
llama3.2,1143,Office,96612,26,624,4,6.833672,native:/api/generate,1143
llama3.2,1143,Office,96612,27,648,1,7.806201,native:/api/generate,1367
llama3.2,1143,Office,96612,28,672,2,8.22329,native:/api/generate,1340
llama3.2,1143,Office,96612,29,696,3,10.360329,native:/api/generate,1632
llama3.2,1143,Office,96612,30,720,1,9.529619,native:/api/generate,1878
llama3.2,1143,Office,96612,31,744,7,10.670934,native:/api/generate,1573
llama3.2,11,Education,49073,1,24,2,9.167942,native:/api/generate,1633
llama3.2,11,Education,49073,2,48,2,9.798776,native:/api/generate,1784
llama3.2,11,Education,49073,3,72,1,4.555226,native:/api/generate,675
llama3.2,11,Education,49073,4,96,3,12.273882,native:/api/generate,1997
llama3.2,11,Education,49073,5,120,1,7.735655,native:/api/generate,1320
llama3.2,11,Education,49073,6,144,2,8.66357,native:/api/generate,1389
llama3.2,11,Education,49073,7,168,1,9.18438,native:/api/generate,1555
llama3.2,11,Education,49073,8,192,2,12.878106,native:/api/generate,2232
