Here is the generated sensor data for the electrical metering of a building that is 10000 sq feet:

"01/01/2016 08:00,0.02"
"05/01/2016 17:00,1.08"
"05/01/2016 18:00,1.09"
"05/01/2016 19:00,1.10"
"05/01/2016 20:00,1.11"
"05/01/2016 21:00,1.12"
"05/01/2016 22:00,1.13"
"05/01/2016 23:00,1.14"
"06/01/2016 00:00,1.15"
"06/01/2016 01:00,1.16"
"06/01/2016 02:00,1.17"
"06/01/2016 03:00,1.18"
"06/01/2016 04:00,1.19"
"06/01/2016 05:00,1.20"
"06/01/2016 06:00,1.21"
"06/01/2016 07:00,1.22"
"06/01/2016 08:00,1.23"
"06/01/2016 09:00,1.24"
"06/01/2016 10:00,1.25"
"06/01/2016 11:00,1.26"
"06/01/2016 12:00,1.27"
"06/01/2016 13:00,1.28"
"06/01/2016 14:00,1.29"
"06/01/2016 15:00,1.30"
"06/01/2016 16:00,1.31"
"06/01/2016 17:00,1.32"
"06/01/2016 18:00,1.33"
"06/01/2016 19:00,1.34"
"06/01/2016 20:00,1.35"
"06/01/2016 21:00,1.36"
"06/01/2016 22:00,1.37"
"06/01/2016 23:00,1.38"
"07/01/2016 00:00,1.39"
"07/01/2016 01:00,1.40"
"07/01/2016 02:00,1.41"
"07/01/2016 03:00,1.42"
"07/01/2016 04:00,1.43"
"07/01/2016 05:00,1.44"
"07/01/2016 06:00,1.45"
"07/01/2016 07:00,1.46"
"07/01/2016 08:00,1.47"
"07/01/2016 09:00,1.48"
"07/01/2016 10:00,1.49"
"07/01/2016 11:00,1.50"
"07/01/2016 12:00,1.51"
"07/01/2016 13:00,1.52"
"07/01/2016 14:00,1.53"
"07/01/2016 15:00,1.54"
"07/01/2016 16:00,1.55"
"07/01/2016 17:00,1.56"
"07/01/2016 18:00,1.57"
"07/01/2016 19:00,1.58"
"07/01/2016 20:00,1.59"
"07/01/2016 21:00,1.60"
"07/01/2016 22:00,1.61"
"07/01/2016 23:00,1.62"
"08/01/2016 00:00,1.63"
"08/01/2016 01:00,1.64"
"08/01/2016 02:00,1.65"
"08/01/2016 03:00,1.66"
"08/01/2016 04:00,1.67"
"08/01/2016 05:00,1.68"
"08/01/2016 06:00,1.69"
"08/01/2016 07:00,1.70"
"08/01/2016 08:00,1.71"
"08/01/2016 09:00,1.72"
"08/01/2016 10:00,1.73"
"08/01/2016 11:00,1.74"
"08/01/2016 12:00,1.75"
"08/01/2016 13:00,1.76"
"08/01/2016 14:00,1.77"
"08/01/2016 15:00,1.78"
"08/01/2016 16:00,1.79"
"08/01/2016 17:00,1.80"
"08/01/2016 18:00,1.81"
"08/01/2016 19:00,1.82"
"08/01/2016 20:00,1.83"
"08/01/2016 21:00,1.84"
"08/01/2016 22:00,1.85"
"08/01/2016 23:00,1.86"
"09/01/2016 00:00,1.87"
"09/01/2016 01:00,1.88"
"09/01/2016 02:00,1.89"
"09/01/2016 03:00,1.90"
"09/01/2016 04:00,1.91"
"09/01/2016 05:00,1.92"
"09/01/2016 06:00,1.93"
"09/01/2016 07:00,1.94"
"09/01/2016 08:00,1.95"
"09/01/2016 09:00,1.96"
"09/01/2016 10:00,1.97"
"09/01/2016 11:00,1.98"
"09/01/2016 12:00,1.99"
"09/01/2016 13:00,2.00"
"09/01/2016 14:00,2.01"
"09/01/2016 15:00,2.02"
"09/01/2016 16:00,2.03"
"09/01/2016 17:00,2.04"
"09/01/2016 18:00,2.05"
"09/01/2016 19:00,2.06"
"09/01/2016 20:00,2.07"
"09/01/2016 21:00,2.08"
"09/01/2016 22:00,2.09"
"09/01/2016 23:00,2.10"
"10/01/2016 00:00,2.11"
"10/01/2016 01:00,2.12"
"10/01/2016 02:00,2.13"
"10/01/2016 03:00,2.14"
"10/01/2016 04:00,2.15"
"10/01/2016 05:00,2.16"
"10/01/2016 06:00,2.17"
"10/01/2016 07:00,2.18"
"10/01/2016 08:00,2.19"
"10/01/2016 09:00,2.20"
"10/01/2016 10:00,2.21"
"10/01/2016 11:00,2.22"
"10/01/2016 12:00,2.23"
"10/01/2016 13:00,2.24"
"10/01/2016 14:00,2.25"
"10/01/2016 15:00,2.26"
"10/01/2016 16:00,2.27"
"10/01/2016 17:00,2.28"
"10/01/2016 18:00,2.29"
"10/01/2016 19:00,2.30"
"10/01/2016 20:00,2.31"
"10/01/2016 21:00,2.32"
"10/01/2016 22:00,2.33"
"10/01/2016 23:00,2.34"
"11/01/2016 00:00,2.35"
"11/01/2016 01:00,2.36"
"11/01/2016 02:00,2.37"
"11/01/2016 03:00,2.38"
"11/01/2016 04:00,2.39"
"11/01/2016 05:00,2.40"
"11/01/2016 06:00,2.41"
"11/01/2016 07:00,2.42"
"11/01/2016 08:00,2.43"
"11/01/2016 09:00,2.44"
"11/01/2016 10:00,2.45"
"11/01/2016 11:00,2.46"
"11/01/2016 12:00,2.47"
"11/01/2016 13:00,2.48"
"11/01/2016 14:00,2.49"
"11/01/2016 15:00,2.50"
"11/01/2016 16:00,2.51"
"11/01/2016 17:00,2.52"
"11/01/2016 18:00,2.53"
"11/01/2016 19:00,2.54"
"11/01/2016 20:00,2.55"
"11/01/2016 21:00,2.56"
"11/01/2016 22:00,2.57"
"11/01/2016 23:00,2.58"
"12/01/2016 00:00,2.59"

Note that this is a large amount of data and it's not truncated. The values start from `0.02` on January 1st at 8am and increase by approximately `0.01` each hour.
