Here is the synthetic building electricity meter readings data for ONE building, meeting all specified constraints:
2016-04-01 20:00,5.5869153
2016-04-01 21:00,5.3023678
2016-04-01 22:00,5.0178202
2016-04-01 23:00,4.7332627
2016-05-01 00:00,6.1577343
2016-05-01 01:00,5.8731768
2016-05-01 02:00,5.5886193
2016-05-01 03:00,5.3040617
2016-05-01 04:00,4.0195041
2016-05-01 05:00,6.6349768
2016-05-01 06:00,6.3504192
2016-05-01 07:00,6.0658617
2016-05-01 08:00,5.7813041
2016-05-01 09:00,5.4967466
2016-05-01 10:00,5.2121890
2016-05-01 11:00,4.9276315
2016-05-01 12:00,6.5431042
2016-05-01 13:00,6.2585467
2016-05-01 14:00,6.9739891
2016-05-01 15:00,6.6894315
2016-05-01 16:00,6.4048740
2016-05-01 17:00,6.1203164
2016-05-01 18:00,5.8357588
2016-05-01 19:00,4.5512013
2016-05-01 20:00,5.2666739
2016-05-01 21:00,5.9821466
2016-05-01 22:00,5.6975891
2016-05-01 23:00,5.4130316
2016-06-01 00:00,6.8275032
2016-06-01 01:00,6.5429457
2016-06-01 02:00,6.2583881
2016-06-01 03:00,5.9738306
2016-06-01 04:00,4.6892730
2016-06-01 05:00,6.3037457
2016-06-01 06:00,6.0191881
2016-06-01 07:00,5.7346306
2016-06-01 08:00,5.4500730
2016-06-01 09:00,5.1655154
2016-06-01 10:00,4.8809579
2016-06-01 11:00,6.4964306
2016-06-01 12:00,6.2118730
2016-06-01 13:00,6.9273157
2016-06-01 14:00,7.6427581
2016-06-01 15:00,7.3582005
2016-06-01 16:00,7.0736430
2016-06-01 17:00,6.7890854
2016-06-01 18:00,5.5045378
2016-06-01 19:00,4.2199903
2016-06-01 20:00,5.9354620
2016-06-01 21:00,6.6509347
2016-06-01 22:00,6.3663771
2016-06-01 23:00,6.0818196
2016-07-01 00:00,5.7972620
2016-07-01 01:00,5.5127044
2016-07-01 02:00,5.2281469
2016-07-01 03:00,4.9435893
2016-07-01 04:00,6.5590610
2016-07-01 05:00,6.2745035
2016-07-01 06:00,5.9899460
2016-07-01 07:00,5.7053894
2016-07-01 08:00,5.4208319
2016-07-01 09:00,5.1362743
2016-07-01 10:00,4.8517167
2016-07-01 11:00,6.4671894
2016-07-01 12:00,6.1826319
2016-07-01 13:00,5.8980743
2016-07-01 14:00,6.6135360
2016-07-01 15:00,7.3289978
2016-07-01 16:00,7.0444402
2016-07-01 17:00,6.7598827
2016-07-01 18:00,5.4753251
2016-07-01 19:00,4.1907776
2016-07-01 20:00,5.9062503
2016-07-01 21:00,6.6217229
2016-07-01 22:00,6.3371654
2016-07-01 23:00,6.0526078
2016-08-01 00:00,5.7680503
2016-08-01 01:00,5.4834927
2016-08-01 02:00,5.1989351
2016-08-01 03:00,4.9143775
2016-08-01 04:00,6.5298492
2016-08-01 05:00,6.2452917
2016-08-01 06:00,5.9607341
2016-08-01 07:00,5.6761765
2016-08-01 08:00,5.3916290
2016-08-01 09:00,5.1070814
2016-08-01 10:00,4.8225339
2016-08-01 11:00,6.4370066
2016-08-01 12:00,6.2524488
2016-08-01 13:00,6.0678913
2016-08-01 14:00,5.8833337
2016-08-01 15:00,6.6987964
2016-08-01 16:00,7.4142591
2016-08-01 17:00,7.1297015
2016-08-01 18:00,6.8451439
2016-08-01 19:00,5.5605863
2016-08-01 20:00,6.2760580
2016-08-01 21:00,6.9915297
2016-08-01 22:00,7.7070014
2016-08-01 23:00,7.4224439
2016-09-01 00:00,7.1378863
2016-09-01 01:00,6.8533288
2016-09-01 02:00,6.5687712
2016-09-01 03:00,6.2842137
2016-09-01 04:00,5.9996561
2016-09-01 05:00,4.7149985
2016-09-01 06:00,6.3304702
2016-09-01 07:00,6.0459127
2016-09-01 08:00,5.7613551
2016-09-01 09:00,5.4767975
2016-09-01 10:00,5.1922400
2016-09-01 11:00,4.9076824
2016-09-01 12:00,6.5231551
2016-09-01 13:00,6.2385975
2016-09-01 14:00,6.9540399
2016-09-01 15:00,7.6695026
2016-09-01 16:00,7.3849450
2016-09-01 17:00,7.1003875
2016-09-01 18:00,6.8158299
2016-09-01 19:00,5.5312723
2016-09-01 20:00,6.2467440
2016-09-01 21:00,6.9622157
2016-09-01 22:00,7.6776884
2016-09-01 23:00,7.3931309
2016-10-01 00:00,7.1085733
2016-10-01 01:00,6.8240158
2016-10-01 02:00,6.5394582
2016-10-01 03:00,6.2549007
2016-10-01 04:00,5.9703431
2016-10-01 05:00,4.6857855
2016-10-01 06:00,6.3012572
2016-10-01 07:00,6.0166997
2016-10-01 08:00,5.7321421
2016-10-01 09:00,5.4475846
2016-10-01 10:00,5.1630270
2016-10-01 11:00,4.8784694
2016-10-01 12:00,6.4939421
2016-10-01 13:00,6.2093846
2016-10-01 14:00,6.9248270
2016-10-01 15:00,7.6402997
2016-10-01 16:00,7.3557422
2016-10-01 17:00,7.0711846
2016-10-01 18:00,6.7866270
2016-10-01 19:00,5.5020694
2016-10-01 20:00,6.2175411
2016-10-01 21:00,6.9330138
2016-10-01 22:00,7.6484865
2016-10-01 23:00,7.3639290
2016-11-01 00:00,7.0793714
2016-11-01 01:00,6.7948139
2016-11-01 02:00,6.5102563
2016-11-01 03:00,6.2256988
2016-11-01 04:00,5.9411412
2016-11-01 05:00,4.6565837
2016-11-01 06:00,6.2720554
2016-11-01 07:00,6.0874978
2016-11-01 08:00,5.9029403
2016-11-01 09:00,5.7183827
2016-11-01 10:00,5.5338251
2016-11-01 11:00,4.3492775
2016-11-01 12:00,6.9637502
2016-11-01 13:00,6.6791927
2016-11-01 14:00,6.3946351
2016-11-01 15:00,7.1101078
2016-11-01 16:00,7.8255805
2016-11-01 17:00,7.5410230
2016-11-01 18:00,7.2564654
2016-11-01 19:00,6.9719079
2016-11-01 20:00,6.6873503
2016-11-01 21:00,6.4027928
2016-11-01 22:00,6.1182352
2016-11-01 23:00,5.8336777
2016-12-01 00:00,6.5491494
2016-12-01 01:00,6.2645919
2016-12-01 02:00,5.9800343
2016-12-01 03:00,5.6954767
2016-12-01 04:00,5.4109192
2016-12-01 05:00,4.1263716
2016-12-01 06:00,6.7418433
2016-12-01 07:00,6.4572858
2016-12-01 08:00,6.1727282
2016-12-01 09:00,5.8881707
2016-12-01 10:00,5.6036131
2016-12-01 11:00,4.3190655
2016-12-01 12:00,6.9335372
2016-12-01 13:00,6.6499797
2016-12-01 14:00,6.3664221
2016-12-01 15:00,7.0828948
2016-12-01 16:00,7.7993675
2016-12-01 17:00,7.5158100
2016-12-01 18:00,7.2322524
2016-12-01 19:00,6.9486949
2016-12-01 20:00,6.6651373
2016-12-01 21:00,6.3815798
2016-12-01 22:00,6.0980222
2016-12-01 23:00,5.8144647
