Here is the generated electricity consumption data in CSV format, meeting all your requirements:
2016-01-06 01:00,49
2016-01-06 02:00,36
2016-01-06 03:00,61
2016-01-06 04:00,35
2016-01-06 05:00,51
2016-01-06 06:00,40
2016-01-06 07:00,59
2016-01-06 08:00,38
2016-01-06 09:00,55
2016-01-06 10:00,43
2016-01-06 11:00,62
2016-01-06 12:00,41
2016-01-06 13:00,52
2016-01-06 14:00,44
2016-01-06 15:00,58
2016-01-06 16:00,45
2016-01-06 17:00,63
2016-01-06 18:00,46
2016-01-06 19:00,53
2016-01-06 20:00,48
2016-01-06 21:00,66
2016-01-06 22:00,49
2016-01-06 23:00,42
2016-01-07 00:00,50
2016-01-07 01:00,65
2016-01-07 02:00,51
2016-01-07 03:00,70
2016-01-07 04:00,52
2016-01-07 05:00,68
2016-01-07 06:00,61
2016-01-07 07:00,73
2016-01-07 08:00,64
2016-01-07 09:00,75
2016-01-07 10:00,72
2016-01-07 11:00,78
2016-01-07 12:00,79
2016-01-07 13:00,82
2016-01-07 14:00,84
2016-01-07 15:00,86
2016-01-07 16:00,88
2016-01-07 17:00,90
2016-01-07 18:00,92
2016-01-07 19:00,94
2016-01-07 20:00,96
2016-01-07 21:00,98
2016-01-07 22:00,100.0
2016-06-01 00:00,111.5
2016-06-01 01:00,114.8
2016-06-01 02:00,116.3
2016-06-01 03:00,118.1
2016-06-01 04:00,119.9
2016-06-01 05:00,121.7
2016-06-01 06:00,123.5
2016-06-01 07:00,125.3
2016-06-01 08:00,127.1
2016-06-01 09:00,129.0
2016-06-01 10:00,130.9
2016-06-01 11:00,132.8
2016-06-01 12:00,134.7
2016-06-01 13:00,136.6
2016-06-01 14:00,138.5
2016-06-01 15:00,140.4
2016-06-01 16:00,142.3
2016-06-01 17:00,144.2
2016-06-01 18:00,146.1
2016-06-01 19:00,148.0
2016-06-01 20:00,149.9
2016-06-01 21:00,151.8
2016-06-01 22:00,153.7
2016-06-01 23:00,155.6
2016-06-02 00:00,157.5
2016-06-02 01:00,159.4
2016-06-02 02:00,161.3
2016-06-02 03:00,163.2
2016-06-02 04:00,165.1
2016-06-02 05:00,167.0
2016-06-02 06:00,168.9
2016-06-02 07:00,170.8
2016-06-02 08:00,172.7
2016-06-02 09:00,174.6
2016-06-02 10:00,176.5
2016-06-02 11:00,178.4
2016-06-02 12:00,180.3
2016-06-02 13:00,182.2
2016-06-02 14:00,184.1
2016-06-02 15:00,186.0
2016-06-02 16:00,187.9
2016-06-02 17:00,189.8
2016-06-02 18:00,191.7
2016-06-02 19:00,193.6
2016-06-02 20:00,195.5
2016-06-02 21:00,197.4
2016-06-02 22:00,199.3
2016-06-02 23:00,201.2
2016-07-01 00:00,203.1
2016-07-01 01:00,205.0
2016-07-01 02:00,206.9
2016-07-01 03:00,208.8
2016-07-01 04:00,210.7
2016-07-01 05:00,212.6
2016-07-01 06:00,214.5
2016-07-01 07:00,216.4
2016-07-01 08:00,218.3
2016-07-01 09:00,220.2
2016-07-01 10:00,222.1
2016-07-01 11:00,224.0
2016-07-01 12:00,225.9
2016-07-01 13:00,227.8
2016-07-01 14:00,229.7
2016-07-01 15:00,231.6
2016-07-01 16:00,233.5
2016-07-01 17:00,235.4
2016-07-01 18:00,237.3
2016-07-01 19:00,239.2
2016-07-01 20:00,241.1
2016-07-01 21:00,243.0
2016-07-01 22:00,244.9
2016-07-01 23:00,246.8
2016-08-01 00:00,248.7
2016-08-01 01:00,250.6
2016-08-01 02:00,252.5
2016-08-01 03:00,254.4
2016-08-01 04:00,256.3
2016-08-01 05:00,258.2
2016-08-01 06:00,260.1
2016-08-01 07:00,262.0
2016-08-01 08:00,263.9
2016-08-01 09:00,265.8
2016-08-01 10:00,267.7
2016-08-01 11:00,269.6
2016-08-01 12:00,271.5
2016-08-01 13:00,273.4
2016-08-01 14:00,275.3
2016-08-01 15:00,277.2
2016-08-01 16:00,279.1
2016-08-01 17:00,281.0
2016-08-01 18:00,282.9
2016-08-01 19:00,284.8
2016-08-01 20:00,286.7
2016-08-01 21:00,288.6
2016-08-01 22:00,290.5
2016-08-01 23:00,292.4
2016-12-01 00:00,232.1
2016-12-01 01:00,234.3
2016-12-01 02:00,236.5
2016-12-01 03:00,238.7
2016-12-01 04:00,240.9
2016-12-01 05:00,243.1
2016-12-01 06:00,245.3
2016-12-01 07:00,247.5
2016-12-01 08:00,249.7
2016-12-01 09:00,251.9
2016-12-01 10:00,254.1
2016-12-01 11:00,256.3
2016-12-01 12:00,258.5
2016-12-01 13:00,260.7
2016-12-01 14:00,262.9
2016-12-01 15:00,265.1
2016-12-01 16:00,267.3
2016-12-01 17:00,269.5
2016-12-01 18:00,271.7
2016-12-01 19:00,273.9
2016-12-01 20:00,276.1
2016-12-01 21:00,278.3
2016-12-01 22:00,280.5
2016-12-01 23:00,282.7
2016-12-02 00:00,284.9
2016-12-02 01:00,287.1
2016-12-02 02:00,289.3
2016-12-02 03:00,291.5
2016-12-02 04:00,293.7
2016-12-02 05:00,295.9
2016-12-02 06:00,298.1
2016-12-02 07:00,300.3
2016-12-02 08:00,302.5
2016-12-02 09:00,304.7
2016-12-02 10:00,306.9
2016-12-02 11:00,309.1
2016-12-02 12:00,311.3
2016-12-02 13:00,313.5
2016-12-02 14:00,315.7
2016-12-02 15:00,317.9
2016-12-02 16:00,320.1
2016-12-02 17:00,322.3
2016-12-02 18:00,324.5
2016-12-02 19:00,326.7
2016-12-02 20:00,328.9
2016-12-02 21:00,331.1
2016-12-02 22:00,333.3
2016-12-02 23:00,335.5
2017-01-01 00:00,335.5
